epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,15916.3,1.92194,1.56537,1.62301,1.82185,0.75809,0.65217,0.7104,0.44421,0.75809,0.65217,0.67618,0.20435,1.68001,1.03313,2.48039,1.62932,0.000627292,0.000627292,0.000627292
65,16160,1.78582,1.43952,1.53874,1.71446,0.68446,0.65217,0.69109,0.43507,0.69684,0.65217,0.6564,0.19326,1.68376,1.0316,2.53579,1.63984,0.000610789,0.000610789,0.000610789
66,16409.8,1.74354,1.42933,1.54092,1.71639,0.5725,0.6087,0.66035,0.34863,0.5725,0.6087,0.62686,0.1665,1.87271,1.05379,2.45465,1.82719,0.000594286,0.000594286,0.000594286
67,16653,1.72482,1.4368,1.4816,1.68271,0.6595,0.52174,0.59313,0.37868,0.6595,0.52174,0.58949,0.18348,1.80069,1.02594,1.79288,1.78228,0.000577782,0.000577782,0.000577782
68,16895.5,1.69502,1.37639,1.47972,1.71978,0.77214,0.58993,0.7312,0.49054,0.77214,0.58993,0.69529,0.22169,1.52752,0.95639,1.99898,1.49584,0.000561279,0.000561279,0.000561279
69,17141,1.62703,1.34125,1.40054,1.66504,0.7246,0.56522,0.66832,0.42337,0.7246,0.56522,0.65441,0.20482,1.72256,0.96413,1.94033,1.65866,0.000544776,0.000544776,0.000544776
70,17384.2,1.68003,1.40721,1.43611,1.7407,0.68463,0.56638,0.66904,0.42273,0.68463,0.56638,0.66012,0.2062,1.74361,0.97388,1.87256,1.68273,0.000528272,0.000528272,0.000528272
71,17633.8,1.63836,1.41643,1.49314,1.67329,0.48115,0.56522,0.53545,0.31582,0.48115,0.56522,0.52777,0.17562,1.90892,1.00415,2.00687,1.87649,0.000511769,0.000511769,0.000511769
72,17880.8,1.77533,1.38955,1.61562,1.77539,0.55876,0.56522,0.57715,0.38522,0.55876,0.56522,0.56747,0.17663,1.70716,0.97359,2.16394,1.6241,0.000495266,0.000495266,0.000495266
73,18135.4,1.70519,1.41013,1.45797,1.75455,0.56292,0.56522,0.59233,0.39052,0.56292,0.56522,0.5897,0.18942,1.82096,0.94924,1.78751,1.72948,0.000478762,0.000478762,0.000478762
