epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,14053.4,1.68586,1.16221,1.26748,1.78924,0.45508,0.56522,0.56034,0.35099,0.45743,0.56522,0.5382,0.17298,1.85589,1.00578,2.06537,1.87206,0.000511769,0.000511769,0.000511769
72,14250,1.60391,1.04482,1.19821,1.75347,0.66057,0.50821,0.56012,0.3312,0.66057,0.50821,0.53626,0.18528,1.72814,0.92915,2.46683,1.73343,0.000495266,0.000495266,0.000495266
73,14448.4,1.52035,1.09868,1.16362,1.62876,0.47353,0.56522,0.57423,0.34527,0.56102,0.52174,0.5428,0.2,1.71532,0.89515,2.60658,1.73054,0.000478762,0.000478762,0.000478762
74,14641.9,1.4701,1.10001,1.19777,1.60568,0.54557,0.56522,0.59638,0.36043,0.54557,0.56522,0.56989,0.20209,1.7021,0.86272,2.08902,1.72134,0.000462259,0.000462259,0.000462259
75,14837.1,1.51354,1.08423,1.19086,1.74453,0.51283,0.59534,0.59551,0.39409,0.51283,0.59534,0.57323,0.22218,1.60308,0.89003,1.99055,1.58855,0.000445756,0.000445756,0.000445756
76,15032.6,1.57176,1.10478,1.20424,1.73258,0.50852,0.65217,0.6244,0.39901,0.50852,0.65217,0.60259,0.21835,1.53836,0.93317,1.7371,1.52007,0.000429253,0.000429253,0.000429253
77,15228.1,1.53124,1.13046,1.18969,1.71646,0.45972,0.6087,0.57183,0.35515,0.46081,0.6087,0.53081,0.18467,1.58891,0.96439,1.96007,1.60612,0.000412749,0.000412749,0.000412749
78,15428.3,1.59101,1.09265,1.14836,1.85326,0.40751,0.56825,0.51674,0.32938,0.40751,0.56825,0.49243,0.18131,1.6709,0.94278,2.04231,1.70726,0.000396246,0.000396246,0.000396246
79,15622.5,1.48979,1.10088,1.1015,1.69955,0.49958,0.6087,0.62376,0.39577,0.49958,0.6087,0.6155,0.2325,1.58767,0.91328,1.68712,1.60462,0.000379743,0.000379743,0.000379743
80,15820.7,1.51807,1.11911,1.20345,1.66763,0.5176,0.6087,0.61137,0.38135,0.5176,0.6087,0.60326,0.22285,1.6336,0.88857,1.80522,1.67754,0.000363239,0.000363239,0.000363239
81,16016.1,1.59983,1.19811,1.21523,1.75059,0.39809,0.56522,0.501,0.32648,0.39809,0.56522,0.49227,0.19402,1.82564,0.89373,2.50447,1.8939,0.000346736,0.000346736,0.000346736
82,16216.3,1.57046,1.11838,1.26078,1.72879,0.49632,0.6087,0.58427,0.34024,0.49632,0.6087,0.56706,0.20114,1.76192,0.90564,2.21514,1.81402,0.000330233,0.000330233,0.000330233
83,16413.1,1.50445,1.09829,1.17915,1.71735,0.44486,0.59264,0.52609,0.31606,0.44486,0.59264,0.51404,0.18468,1.83319,0.89964,2.42028,1.95629,0.000313729,0.000313729,0.000313729
84,16610.6,1.42416,1.02446,1.07128,1.65121,0.44541,0.73913,0.5591,0.32696,0.44541,0.73913,0.54652,0.20256,1.77983,0.8924,2.63145,1.81749,0.000297226,0.000297226,0.000297226
85,16807.9,1.52594,1.15933,1.16221,1.72083,0.41033,0.6087,0.51448,0.32087,0.41033,0.6087,0.50412,0.19326,1.82517,0.90805,2.58842,1.9352,0.000280723,0.000280723,0.000280723
86,17006.4,1.51498,1.06713,1.10164,1.73328,0.45975,0.6087,0.55262,0.35453,0.45975,0.6087,0.53711,0.20745,1.7253,0.90664,2.36001,1.85227,0.00026422,0.00026422,0.00026422
87,17262,1.50445,1.0319,1.15576,1.67392,0.48198,0.6087,0.58157,0.39632,0.48198,0.6087,0.56713,0.22662,1.75909,0.91264,2.12351,1.81971,0.000247716,0.000247716,0.000247716
88,17508.9,1.47287,1.07712,1.08613,1.67056,0.60081,0.45867,0.53604,0.36027,0.60081,0.45867,0.52115,0.21062,1.95699,0.90929,2.09499,1.98072,0.000231213,0.000231213,0.000231213
89,17752.8,1.44574,1.08954,1.12601,1.61527,0.57345,0.46805,0.58913,0.38479,0.57345,0.46805,0.57013,0.21698,1.77141,0.89261,2.0201,1.83903,0.00021471,0.00021471,0.00021471
90,18047.5,1.42679,1.06039,1.1112,1.61846,0.59967,0.43478,0.58933,0.33376,0.59967,0.43478,0.57801,0.2,1.85829,0.90818,2.32608,1.87849,0.000198206,0.000198206,0.000198206
91,18345.9,1.42003,0.80048,1.031,1.69105,0.58478,0.55153,0.54564,0.30827,0.63437,0.47826,0.53512,0.19492,2.27539,0.92951,1.97902,2.14051,0.000181703,0.000181703,0.000181703
92,18611.4,1.23462,0.79224,0.95102,1.54256,0.56264,0.56522,0.61428,0.39725,0.56264,0.56522,0.58932,0.22713,1.7572,0.92015,1.78078,1.69923,0.0001652,0.0001652,0.0001652
93,18857,1.37913,0.81924,0.99736,1.60937,0.51152,0.69565,0.62718,0.42849,0.58928,0.56522,0.60194,0.23348,1.67387,0.91453,1.57764,1.62153,0.000148696,0.000148696,0.000148696
94,19114,1.33308,0.77761,1.03311,1.59737,0.51748,0.65217,0.62135,0.42169,0.54335,0.65217,0.60883,0.23328,1.82162,0.92094,1.61958,1.70981,0.000132193,0.000132193,0.000132193
95,19358.9,1.32719,0.77423,0.91672,1.55748,0.75204,0.52174,0.6131,0.42813,0.75204,0.52174,0.62106,0.2505,1.81429,0.8815,1.52263,1.67859,0.00011569,0.00011569,0.00011569
96,19605,1.33038,0.7834,0.88741,1.56778,0.78339,0.56522,0.71627,0.4985,0.78339,0.56522,0.69801,0.26659,1.52355,0.87384,1.42324,1.49049,9.92E-05,9.92E-05,9.92E-05
97,19855.8,1.35804,0.76056,0.86975,1.63102,0.66371,0.6087,0.67024,0.45696,0.66371,0.6087,0.66114,0.25716,1.56154,0.87376,1.48848,1.53604,8.27E-05,8.27E-05,8.27E-05
98,20103.9,1.35338,0.78013,0.92845,1.59413,0.8776,0.47826,0.55905,0.38012,0.8776,0.47826,0.5878,0.22522,2.00222,0.88014,1.6909,1.86149,6.62E-05,6.62E-05,6.62E-05
99,20351.6,1.16969,0.79327,0.85072,1.53527,0.7714,0.6087,0.69482,0.49987,0.7714,0.6087,0.68519,0.25925,1.49051,0.86345,1.4463,1.51345,4.97E-05,4.97E-05,4.97E-05
100,20596,1.26939,0.7666,0.90785,1.60958,0.8225,0.52174,0.58811,0.35121,0.80511,0.53951,0.58099,0.22528,2.29238,0.87113,1.85715,2.04784,3.32E-05,3.32E-05,3.32E-05
