epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,17354.6,1.81775,1.22446,1.41133,2.04803,0.39947,0.3913,0.44793,0.229,0.39947,0.3913,0.44433,0.16712,2.28168,0.94678,4.56049,2.22897,0.000363239,0.000363239,0.000363239
81,17605.2,1.83587,1.20653,1.37671,2.03162,0.30142,0.30435,0.36349,0.2084,0.30142,0.30435,0.38072,0.1541,2.65055,0.97411,4.77345,2.44177,0.000346736,0.000346736,0.000346736
82,17849.5,1.86424,1.10263,1.46286,1.90413,0.51008,0.30435,0.36324,0.21153,0.51008,0.30435,0.37306,0.15557,2.57765,0.98819,3.64771,2.31372,0.000330233,0.000330233,0.000330233
83,18098.1,1.81376,1.13218,1.32831,1.98389,0.60259,0.3913,0.43971,0.25559,0.60259,0.3913,0.45218,0.18089,2.41343,1.03296,3.6436,2.2033,0.000313729,0.000313729,0.000313729
84,18351,1.74277,1.13475,1.35069,1.99525,0.40986,0.47826,0.52011,0.29022,0.44702,0.52738,0.55649,0.18872,2.20179,1.0014,4.89225,2.15414,0.000297226,0.000297226,0.000297226
85,18600,1.86043,1.20779,1.36839,2.01643,0.44177,0.30435,0.4388,0.24521,0.34548,0.50519,0.44599,0.16405,2.29801,1.01878,3.46501,2.15335,0.000280723,0.000280723,0.000280723
86,18845.9,1.7946,1.10354,1.39982,2.00558,0.49347,0.47826,0.53088,0.30532,0.52673,0.56522,0.54738,0.2022,2.08036,0.9466,3.47614,2.05101,0.00026422,0.00026422,0.00026422
87,19090.6,1.8703,1.21084,1.41148,2.0385,0.42739,0.52174,0.52891,0.30182,0.45548,0.58226,0.53184,0.20003,2.06222,0.90514,4.49473,2.08469,0.000247716,0.000247716,0.000247716
88,19341.5,1.79345,1.17365,1.42779,1.98563,0.29561,0.43478,0.39207,0.23917,0.31381,0.52174,0.41978,0.16671,2.4156,0.92593,5.08347,2.25488,0.000231213,0.000231213,0.000231213
89,19586.5,1.74142,1.08924,1.42426,1.89833,0.45657,0.47826,0.45643,0.2689,0.36954,0.52174,0.48562,0.18932,2.27136,0.92526,4.58751,2.16707,0.00021471,0.00021471,0.00021471
90,19852.7,1.78172,1.15023,1.40894,1.9458,0.29649,0.3913,0.3582,0.22398,0.26439,0.43478,0.39011,0.155,2.49626,0.9887,6.01683,2.40643,0.000198206,0.000198206,0.000198206
91,20145.4,1.93204,0.97441,1.33237,2.09219,0.83211,0.21739,0.22799,0.15506,0.83211,0.21739,0.23,0.10991,2.71146,1.07946,3.4328,2.48578,0.000181703,0.000181703,0.000181703
92,20397.3,1.72753,0.98265,1.2783,1.9574,0.95197,0.26087,0.27846,0.18534,0.95197,0.26087,0.27597,0.12413,2.61965,1.02625,3.10596,2.38464,0.0001652,0.0001652,0.0001652
93,20640.6,1.83821,1.04061,1.28439,2.07487,0.94932,0.26087,0.31563,0.19091,0.94932,0.26087,0.30849,0.13434,2.48327,0.98738,2.75188,2.29474,0.000148696,0.000148696,0.000148696
94,20886,1.80041,0.92388,1.30812,1.97619,0.96322,0.26087,0.28817,0.19323,0.96322,0.26087,0.28188,0.12498,2.53426,0.97397,2.91189,2.30535,0.000132193,0.000132193,0.000132193
95,21129.7,1.73516,0.9406,1.18548,1.91156,0.93401,0.26087,0.29861,0.20175,0.93401,0.26087,0.29604,0.12209,2.50483,0.90234,2.89638,2.25753,0.00011569,0.00011569,0.00011569
96,21377.3,1.73226,0.93405,1.16536,1.92212,0.90656,0.42267,0.53687,0.33761,0.64195,0.52174,0.54713,0.19206,2.0853,0.89116,2.59578,2.01609,9.91865e-05,9.91865e-05,9.91865e-05
97,21624.6,1.6304,0.92131,1.17246,1.91409,0.57212,0.43478,0.47259,0.30555,0.57212,0.43478,0.48016,0.17458,2.14076,0.89599,2.93462,2.06388,8.26832e-05,8.26832e-05,8.26832e-05
98,21870.5,1.64365,0.93501,1.13888,1.87215,0.78582,0.26087,0.31944,0.21986,0.78582,0.26087,0.323,0.12604,2.46754,0.92171,3.06084,2.19544,6.61799e-05,6.61799e-05,6.61799e-05
99,22123.7,1.69444,0.88886,1.13112,1.90167,0.85801,0.43478,0.52182,0.33537,0.75475,0.52174,0.54967,0.18211,2.1264,0.90061,2.55851,2.02337,4.96766e-05,4.96766e-05,4.96766e-05
100,22383.3,1.63561,0.92655,1.1619,1.87384,0.92698,0.26087,0.29449,0.19782,0.92698,0.26087,0.29513,0.12484,2.69265,0.94453,3.12536,2.34981,3.31733e-05,3.31733e-05,3.31733e-05
